series,seed,mode,event,time_s,source_as_of,reason,route_changed,cumulative_route_changes,update_ms,success,length_m,latent_quality_mean,synthetic_low_quality_exposure_m,normalized_cost_integral,unknown_exposure_m,collision_cells,valid_path,route
dynamic_obstacles,100,geometric,initial,0.0,400.0,blocked_or_initial,False,0,0.5681899997398432,True,38.0,0.8997179018672018,0.0,0.0,0.0,0,True,direct
dynamic_obstacles,100,geometric,direct_blocked,0.1,400.1,blocked_or_initial,True,1,2.0040710001012485,True,56.48528137423856,0.9013258691747432,0.0,0.0,0.0,0,True,detour
dynamic_obstacles,100,geometric,obstacle_removed,2.0,402.0,quality_improvement,True,2,0.5866599999535538,True,38.0,0.8997179018672018,0.0,0.0,0.0,0,True,direct
dynamic_obstacles,100,geometric,all_routes_blocked,2.1,402.1,stop_no_path,True,3,9.674576000179513,False,,,,,,0,False,no_path
dynamic_obstacles,100,geometric,routes_reopened,4.0,404.0,blocked_or_initial,True,4,0.5255399996713095,True,38.0,0.8997179018672018,0.0,0.0,0.0,0,True,direct
dynamic_obstacles,100,linear,initial,0.0,400.0,blocked_or_initial,False,0,1.2483049999900686,True,38.0,0.8997179018672018,0.0,3.03373015873016,0.0,0,True,direct
dynamic_obstacles,100,linear,direct_blocked,0.1,400.1,blocked_or_initial,True,1,1.887514000372903,True,56.48528137423857,0.9018599913023024,0.0,4.394212962119417,0.0,0,True,detour
dynamic_obstacles,100,linear,obstacle_removed,2.0,402.0,quality_improvement,True,2,1.0974479996548325,True,38.0,0.8997179018672018,0.0,3.03373015873016,0.0,0,True,direct
dynamic_obstacles,100,linear,all_routes_blocked,2.1,402.1,stop_no_path,True,3,1.1005649998878653,False,,,,,,0,False,no_path
dynamic_obstacles,100,linear,routes_reopened,4.0,404.0,blocked_or_initial,True,4,3.27836299993578,True,38.0,0.8997179018672018,0.0,3.03373015873016,0.0,0,True,direct
