scenario,mode,runs,successes,success_rate,collision_cells,invalid_successes,detour_fraction,length_m_mean,length_m_std,latent_quality_mean_mean,latent_quality_mean_std,synthetic_low_quality_exposure_m_mean,synthetic_low_quality_exposure_m_std,unknown_exposure_m_mean,unknown_exposure_m_std,planning_ms_mean,planning_ms_std
dual_route,geometric,10,10,1.0,0,0,0.0,38.0,0.0,0.4026311369573265,0.0037913356158709257,27.0,0.0,0.0,0.0,0.4567197999676864,0.09958877399620032
dual_route,linear,10,10,1.0,0,0,1.0,56.48528137423857,5.801557143511545e-15,0.9011673557067701,0.0010017549557989915,0.0,0.0,0.0,0.0,5.532529299989619,4.812500178616258
dual_route,nonlinear,10,10,1.0,0,0,1.0,56.48528137423857,5.801557143511545e-15,0.9011673557067701,0.0010017549557989915,0.0,0.0,0.0,0.0,1.9859875999827636,0.2775791724137653
dual_route,full,10,10,1.0,0,0,1.0,56.48528137423857,5.801557143511545e-15,0.9011751164903531,0.0010009472007490043,0.0,0.0,0.0,0.0,5.1847384999291535,4.697199285728501
dual_route,no_variance,10,10,1.0,0,0,1.0,56.48528137423857,5.801557143511545e-15,0.9011751164903531,0.0010009472007490043,0.0,0.0,0.0,0.0,7.958188200018412,5.006688129117348
dual_route,no_count,10,10,1.0,0,0,1.0,56.48528137423857,5.801557143511545e-15,0.9011673557067701,0.0010017549557989915,0.0,0.0,0.0,0.0,6.074048300024515,5.497278996971719
dual_route,no_age,10,10,1.0,0,0,1.0,56.48528137423857,5.801557143511545e-15,0.9011751164903531,0.0010009472007490043,0.0,0.0,0.0,0.0,2.961780399982672,3.0100485901669423
sparse_misleading_score,geometric,10,10,1.0,0,0,0.0,38.0,0.0,0.4026311369573265,0.0037913356158709257,27.0,0.0,0.0,0.0,0.497049799969318,0.1185247461810124
sparse_misleading_score,linear,10,10,1.0,0,0,0.0,38.0,0.0,0.4026311369573265,0.0037913356158709257,27.0,0.0,0.0,0.0,3.0537104999893927,4.3211504743779265
sparse_misleading_score,nonlinear,10,10,1.0,0,0,0.0,38.0,0.0,0.4026311369573265,0.0037913356158709257,27.0,0.0,0.0,0.0,2.8015801999117684,3.948149989591513
sparse_misleading_score,full,10,10,1.0,0,0,1.0,56.48528137423857,5.801557143511545e-15,0.9011751164903531,0.0010009472007490043,0.0,0.0,0.0,0.0,5.9841204999429465,4.866601480592388
sparse_misleading_score,no_variance,10,10,1.0,0,0,1.0,56.48528137423857,5.801557143511545e-15,0.9011751164903531,0.0010009472007490043,0.0,0.0,0.0,0.0,3.262588999905347,3.3008020445511006
sparse_misleading_score,no_count,10,10,1.0,0,0,0.0,38.0,0.0,0.4026311369573265,0.0037913356158709257,27.0,0.0,0.0,0.0,1.2199563999274687,0.5948118180444233
sparse_misleading_score,no_age,10,10,1.0,0,0,1.0,56.48528137423857,5.801557143511545e-15,0.9011751164903531,0.0010009472007490043,0.0,0.0,0.0,0.0,4.5473673999822495,4.055812366557048
stale_high_score,geometric,10,10,1.0,0,0,0.0,38.0,0.0,0.4026311369573265,0.0037913356158709257,27.0,0.0,0.0,0.0,1.3542770000185556,2.886901337596083
stale_high_score,linear,10,10,1.0,0,0,0.0,38.0,0.0,0.4026311369573265,0.0037913356158709257,27.0,0.0,0.0,0.0,2.0711508000658796,3.30475529172238
stale_high_score,nonlinear,10,10,1.0,0,0,0.0,38.0,0.0,0.4026311369573265,0.0037913356158709257,27.0,0.0,0.0,0.0,0.9806500999275158,0.26216745737938024
stale_high_score,full,10,10,1.0,0,0,1.0,56.48528137423857,5.801557143511545e-15,0.9011751164903531,0.0010009472007490043,0.0,0.0,0.0,0.0,3.542644899971492,2.234412152919337
stale_high_score,no_variance,10,10,1.0,0,0,1.0,56.48528137423857,5.801557143511545e-15,0.9011751164903531,0.0010009472007490043,0.0,0.0,0.0,0.0,4.371377100142126,4.030761237546815
stale_high_score,no_count,10,10,1.0,0,0,1.0,56.48528137423857,5.801557143511545e-15,0.9011673557067701,0.0010017549557989915,0.0,0.0,0.0,0.0,3.4400439998989896,3.330452083321485
stale_high_score,no_age,10,10,1.0,0,0,0.0,38.0,0.0,0.4026311369573265,0.0037913356158709257,27.0,0.0,0.0,0.0,4.00715810001202,4.527448092204929
