scenario,mode,runs,successes,success_rate,collision_cells,invalid_successes,detour_fraction,length_m_mean,length_m_std,latent_quality_mean_mean,latent_quality_mean_std,synthetic_low_quality_exposure_m_mean,synthetic_low_quality_exposure_m_std,unknown_exposure_m_mean,unknown_exposure_m_std,planning_ms_mean,planning_ms_std
dual_route,geometric,10,10,1.0,0,0,0.0,38.0,0.0,0.4026311369573265,0.0037913356158709257,27.0,0.0,0.0,0.0,0.5095386999528273,0.20126939045412304
dual_route,linear,10,10,1.0,0,0,1.0,56.48528137423857,5.801557143511545e-15,0.9011673557067701,0.0010017549557989915,0.0,0.0,0.0,0.0,5.286584900113667,4.3750216725501385
dual_route,nonlinear,10,10,1.0,0,0,1.0,56.48528137423857,7.105427357601002e-15,0.9004865321446285,0.000986831830917602,0.0,0.0,0.0,0.0,6.490303399959885,5.067025628069491
dual_route,full,10,10,1.0,0,0,1.0,56.48528137423857,6.2663979156823534e-15,0.900862621046709,0.00100268192422789,0.0,0.0,0.0,0.0,3.6494946999937383,3.927997841490809
dual_route,no_variance,10,10,1.0,0,0,1.0,56.48528137423857,7.105427357601002e-15,0.9004355793273342,0.0009893033674394534,0.0,0.0,0.0,0.0,2.7347268000085023,3.0727522638417297
dual_route,no_count,10,10,1.0,0,0,1.0,56.48528137423857,6.2663979156823534e-15,0.9008795340261994,0.001029614476234709,0.0,0.0,0.0,0.0,4.70248179990449,4.61144897749725
dual_route,no_age,10,10,1.0,0,0,1.0,56.48528137423857,6.2663979156823534e-15,0.900862621046709,0.00100268192422789,0.0,0.0,0.0,0.0,4.722228800073935,4.98699991102834
sparse_misleading_score,geometric,10,10,1.0,0,0,0.0,38.0,0.0,0.4026311369573265,0.0037913356158709257,27.0,0.0,0.0,0.0,1.3028713999574393,2.9924183367872748
sparse_misleading_score,linear,10,10,1.0,0,0,0.0,38.0,0.0,0.4026311369573265,0.0037913356158709257,27.0,0.0,0.0,0.0,0.856894700018529,0.22958276293984028
sparse_misleading_score,nonlinear,10,10,1.0,0,0,0.0,38.0,0.0,0.4026311369573265,0.0037913356158709257,27.0,0.0,0.0,0.0,0.38708769993718306,0.09094003290953727
sparse_misleading_score,full,10,10,1.0,0,0,1.0,56.48528137423857,6.2663979156823534e-15,0.900862621046709,0.00100268192422789,0.0,0.0,0.0,0.0,4.014168600042467,4.053964380542561
sparse_misleading_score,no_variance,10,10,1.0,0,0,1.0,56.48528137423857,7.105427357601002e-15,0.9004355793273342,0.0009893033674394534,0.0,0.0,0.0,0.0,6.555795099939132,5.1165049663752615
sparse_misleading_score,no_count,10,10,1.0,0,0,0.0,38.0,0.0,0.4026311369573265,0.0037913356158709257,27.0,0.0,0.0,0.0,1.2992819000373856,2.8290197068606906
sparse_misleading_score,no_age,10,10,1.0,0,0,1.0,56.48528137423857,6.2663979156823534e-15,0.900862621046709,0.00100268192422789,0.0,0.0,0.0,0.0,3.814499799955229,4.135029452804271
stale_high_score,geometric,10,10,1.0,0,0,0.0,38.0,0.0,0.4026311369573265,0.0037913356158709257,27.0,0.0,0.0,0.0,0.46116729999994277,0.12883032316878054
stale_high_score,linear,10,10,1.0,0,0,0.0,38.0,0.0,0.4026311369573265,0.0037913356158709257,27.0,0.0,0.0,0.0,1.9812016999821935,3.135012826896519
stale_high_score,nonlinear,10,10,1.0,0,0,0.0,38.0,0.0,0.4026311369573265,0.0037913356158709257,27.0,0.0,0.0,0.0,1.1138428999402095,2.0832023651115175
stale_high_score,full,10,10,1.0,0,0,1.0,56.48528137423857,6.2663979156823534e-15,0.900862621046709,0.00100268192422789,0.0,0.0,0.0,0.0,3.955933399947753,3.6355817207576915
stale_high_score,no_variance,10,10,1.0,0,0,1.0,56.48528137423857,7.105427357601002e-15,0.9004355793273342,0.0009893033674394534,0.0,0.0,0.0,0.0,4.3946503999450215,4.214097609759757
stale_high_score,no_count,10,10,1.0,0,0,1.0,56.48528137423857,6.2663979156823534e-15,0.9008795340261994,0.001029614476234709,0.0,0.0,0.0,0.0,2.7058519000547676,2.8233905940040938
stale_high_score,no_age,10,10,1.0,0,0,0.0,38.0,0.0,0.4026311369573265,0.0037913356158709257,27.0,0.0,0.0,0.0,0.6373717999395012,0.13543899155765152
high_variance,geometric,10,10,1.0,0,0,0.0,38.0,0.0,0.4026311369573265,0.0037913356158709257,27.0,0.0,0.0,0.0,0.41085790007855394,0.03989267507562227
high_variance,linear,10,10,1.0,0,0,0.0,38.0,0.0,0.4026311369573265,0.0037913356158709257,27.0,0.0,0.0,0.0,2.24115150012949,3.299065257155206
high_variance,nonlinear,10,10,1.0,0,0,0.0,38.0,0.0,0.4026311369573265,0.0037913356158709257,27.0,0.0,0.0,0.0,1.8632235000495712,3.2882295249800113
high_variance,full,10,10,1.0,0,0,0.0,38.0,0.0,0.4026311369573265,0.0037913356158709257,27.0,0.0,0.0,0.0,3.5990295999454247,4.585404469414697
high_variance,no_variance,10,10,1.0,0,0,0.0,38.0,0.0,0.4026311369573265,0.0037913356158709257,27.0,0.0,0.0,0.0,0.7849136999993789,0.179860448570544
high_variance,no_count,10,10,1.0,0,0,0.0,38.0,0.0,0.4026311369573265,0.0037913356158709257,27.0,0.0,0.0,0.0,3.115125600106694,3.3124782542149784
